WIID,Description,Type,Status,Date
74428713,Calculate Client Security Hash,WI5,Open,2019-09-07
74428766,Research Client Check Copy,WI2,Open,2019-07-06
74428810,Verify Account Position,WI1,Open,2020-07-26
74428743,Process Vendor Invoice,WI3,Open,2017-10-11
74428817,Verify Account Position,WI1,Open,2019-05-20
74428798,Verify Account Position,WI1,Open,2021-02-04
74428785,Research Client Check Copy,WI2,Open,2021-04-12
74428807,Verify Account Position,WI1,Open,2021-02-19
74428818,Verify Account Position,WI1,Open,2018-03-26
74428723,Generate Yearly Report for Vendor,WI4,Open,2018-05-20
74428787,Research Client Check Copy,WI2,Open,2017-01-13
74428782,Research Client Check Copy,WI2,Open,2020-06-11
74428754,Research Client Check Copy,WI2,Open,2017-04-12
74428796,Verify Account Position,WI1,Open,2019-03-31
74428760,Research Client Check Copy,WI2,Open,2017-10-31
74428739,Process Vendor Invoice,WI3,Open,2018-08-21
74428722,Calculate Client Security Hash,WI5,Open,2017-01-06
74428715,Calculate Client Security Hash,WI5,Open,2019-03-04
74428756,Research Client Check Copy,WI2,Open,2018-06-08
74428714,Calculate Client Security Hash,WI5,Open,2019-09-16
74428745,Process Vendor Invoice,WI3,Open,2019-06-24
74428748,Process Vendor Invoice,WI3,Open,2019-01-24
74428809,Verify Account Position,WI1,Open,2020-05-20
74428732,Generate Yearly Report for Vendor,WI4,Open,2021-05-16
74428773,Research Client Check Copy,WI2,Open,2018-01-24
74428789,Research Client Check Copy,WI2,Open,2018-07-08
74428755,Research Client Check Copy,WI2,Open,2019-08-25
74428721,Calculate Client Security Hash,WI5,Open,2020-05-23
74428804,Verify Account Position,WI1,Open,2018-09-02
74428744,Process Vendor Invoice,WI3,Open,2020-09-20
74428751,Research Client Check Copy,WI2,Open,2018-11-11
74428776,Research Client Check Copy,WI2,Open,2019-01-01
74428777,Research Client Check Copy,WI2,Open,2020-03-17
74428783,Research Client Check Copy,WI2,Open,2019-05-04
74428762,Research Client Check Copy,WI2,Open,2019-01-16
74428717,Calculate Client Security Hash,WI5,Open,2019-01-09
74428784,Research Client Check Copy,WI2,Open,2019-05-05
74428802,Verify Account Position,WI1,Open,2021-04-15
74428799,Verify Account Position,WI1,Open,2019-03-10
74428735,Generate Yearly Report for Vendor,WI4,Open,2017-12-27
74428741,Process Vendor Invoice,WI3,Open,2018-12-20
74428740,Process Vendor Invoice,WI3,Open,2018-01-25
74428759,Research Client Check Copy,WI2,Open,2020-08-16
74428731,Generate Yearly Report for Vendor,WI4,Open,2018-08-09
74428734,Generate Yearly Report for Vendor,WI4,Open,2020-07-19
74428764,Research Client Check Copy,WI2,Open,2020-03-09
74428800,Verify Account Position,WI1,Open,2019-01-26
74428815,Verify Account Position,WI1,Open,2018-08-22
74428716,Calculate Client Security Hash,WI5,Open,2021-09-12
74428786,Research Client Check Copy,WI2,Open,2020-03-21
74428775,Research Client Check Copy,WI2,Open,2021-04-20
74428813,Verify Account Position,WI1,Open,2020-01-02
74428781,Research Client Check Copy,WI2,Open,2021-08-10
74428780,Research Client Check Copy,WI2,Open,2018-11-01
74428758,Research Client Check Copy,WI2,Open,2017-06-27
74428790,Research Client Check Copy,WI2,Open,2019-04-02
74428712,Calculate Client Security Hash,WI5,Open,2020-07-12
74428779,Research Client Check Copy,WI2,Open,2019-01-14
74428757,Research Client Check Copy,WI2,Open,2018-08-17
74428710,Calculate Client Security Hash,WI5,Open,2019-04-12
74428742,Process Vendor Invoice,WI3,Open,2018-03-30
74428797,Verify Account Position,WI1,Open,2020-06-05
74428801,Verify Account Position,WI1,Open,2018-11-04
74428728,Generate Yearly Report for Vendor,WI4,Open,2019-07-30
74428749,Process Vendor Invoice,WI3,Open,2018-04-25
74428765,Research Client Check Copy,WI2,Open,2020-10-20
74428770,Research Client Check Copy,WI2,Open,2017-11-01
74428730,Generate Yearly Report for Vendor,WI4,Open,2017-02-22
74428711,Calculate Client Security Hash,WI5,Open,2018-06-22
74428753,Research Client Check Copy,WI2,Open,2019-08-25
74428772,Research Client Check Copy,WI2,Open,2019-08-26
74428733,Generate Yearly Report for Vendor,WI4,Open,2020-04-16
74428805,Verify Account Position,WI1,Open,2020-05-07
74428725,Generate Yearly Report for Vendor,WI4,Open,2020-08-14
74428746,Process Vendor Invoice,WI3,Open,2018-01-01
74428808,Verify Account Position,WI1,Open,2020-07-15
74428726,Generate Yearly Report for Vendor,WI4,Open,2021-07-26
74428719,Calculate Client Security Hash,WI5,Open,2019-08-30
74428803,Verify Account Position,WI1,Open,2020-05-17
74428771,Research Client Check Copy,WI2,Open,2020-06-23
74428793,Verify Account Position,WI1,Open,2017-03-23
74428737,Generate Yearly Report for Vendor,WI4,Open,2018-04-22
74428738,Generate Yearly Report for Vendor,WI4,Open,2018-08-08
74428761,Research Client Check Copy,WI2,Open,2018-01-04
74428768,Research Client Check Copy,WI2,Open,2019-03-01
